# START_DATE format is %Y-%m-%d
# END_DATE format is %Y-%m-%d
# DAYS is the amount of days between START_DATE and END_DATE (days)
# SITE is the evapotranspiration measurement site
# ET is the evapotranspiration amount between START_DATE and END_DATE (mm)
START_DATE,END_DATE,DAYS,SITE,ET
1966-06-21,1966-06-30,10,ET1,32
1966-07-01,1966-07-10,10,ET1,32
1966-07-11,1966-07-20,10,ET1,37
1966-07-21,1966-07-31,11,ET1,39
1966-08-01,1966-08-10,10,ET1,29
1966-08-11,1966-08-20,10,ET1,27
1966-08-21,1966-08-31,11,ET1,29
1966-09-01,1966-09-10,10,ET1,14
1966-09-11,1966-09-20,10,ET1,11
1966-09-21,1966-09-30,10,ET1,13
1966-10-01,1966-10-10,10,ET1,9
1967-04-24,1967-04-30,7,ET1,15
1967-05-01,1967-05-10,10,ET1,16
1967-05-11,1967-05-20,10,ET1,27
1967-05-21,1967-05-31,11,ET1,47
1967-06-01,1967-06-10,10,ET1,32
1967-06-11,1967-06-20,10,ET1,29
1967-06-21,1967-06-30,10,ET1,32
1967-07-01,1967-07-10,10,ET1,34
1967-07-11,1967-07-20,10,ET1,35
1967-07-21,1967-07-31,11,ET1,33
1967-08-01,1967-08-10,10,ET1,22
1967-08-11,1967-08-20,10,ET1,19
1967-08-21,1967-08-31,11,ET1,16
1967-09-01,1967-09-10,10,ET1,14
1967-09-11,1967-09-20,10,ET1,14
1967-09-21,1967-09-30,10,ET1,10
1967-10-01,1967-10-10,10,ET1,5
1967-10-11,1967-10-20,10,ET1,6
1968-05-05,1968-05-10,6,ET1,14
1968-05-11,1968-05-20,10,ET1,26
1968-05-21,1968-05-31,11,ET1,29
1968-05-01,1968-05-10,10,ET3,19
1968-05-11,1968-05-20,10,ET3,25
1968-05-21,1968-05-31,11,ET3,29
1968-05-01,1968-05-10,10,ET4,23
1968-05-11,1968-05-20,10,ET4,31
1968-05-21,1968-05-31,11,ET4,33
1968-05-01,1968-05-10,10,ET2.1,20
1968-05-11,1968-05-20,10,ET2.1,26
1968-05-21,1968-05-31,11,ET2.1,29
1968-05-01,1968-05-10,10,ET2.2,19
1968-05-11,1968-05-20,10,ET2.2,25
1968-05-21,1968-05-31,11,ET2.2,28
1968-06-01,1968-06-10,10,ET1,40
1968-06-11,1968-06-20,10,ET1,43
1968-06-21,1968-06-30,10,ET1,26
1968-06-01,1968-06-10,10,ET3,41
1968-06-11,1968-06-20,10,ET3,46
1968-06-21,1968-06-30,10,ET3,25
1968-06-01,1968-06-10,10,ET4,44
1968-06-11,1968-06-20,10,ET4,46
1968-06-21,1968-06-30,10,ET4,30
1968-06-01,1968-06-10,10,ET2.1,39
1968-06-11,1968-06-20,10,ET2.1,45
1968-06-21,1968-06-30,10,ET2.1,24
1968-06-01,1968-06-10,10,ET2.2,43
1968-06-11,1968-06-20,10,ET2.2,46
1968-06-21,1968-06-30,10,ET2.2,24
1968-07-01,1968-07-10,10,ET1,29
1968-07-11,1968-07-20,10,ET1,17
1968-07-21,1968-07-31,11,ET1,27
1968-07-01,1968-07-10,10,ET3,29
1968-07-11,1968-07-20,10,ET3,17
1968-07-21,1968-07-31,11,ET3,26
1968-07-01,1968-07-10,10,ET4,31
1968-07-11,1968-07-20,10,ET4,18
1968-07-21,1968-07-31,11,ET4,28
1968-07-01,1968-07-10,10,ET2.1,29
1968-07-11,1968-07-20,10,ET2.1,14
1968-07-21,1968-07-31,11,ET2.1,27
1968-07-01,1968-07-10,10,ET2.2,30
1968-07-11,1968-07-20,10,ET2.2,16
1968-07-21,1968-07-31,11,ET2.2,27
1968-08-01,1968-08-10,10,ET1,27
1968-08-11,1968-08-20,10,ET1,22
1968-08-21,1968-08-31,11,ET1,21
1968-08-01,1968-08-10,10,ET3,27
1968-08-11,1968-08-20,10,ET3,20
1968-08-21,1968-08-31,11,ET3,20
1968-08-01,1968-08-10,10,ET4,27
1968-08-11,1968-08-20,10,ET4,24
1968-08-21,1968-08-31,11,ET4,23
1968-08-01,1968-08-10,10,ET2.1,27
1968-08-11,1968-08-20,10,ET2.1,24
1968-08-21,1968-08-31,11,ET2.1,23
1968-08-01,1968-08-10,10,ET2.2,30
1968-08-11,1968-08-20,10,ET2.2,22
1968-08-21,1968-08-31,11,ET2.2,22
1968-09-01,1968-09-10,10,ET1,17
1968-09-11,1968-09-20,10,ET1,10
1968-09-21,1968-09-30,10,ET1,9
1968-09-01,1968-09-10,10,ET3,17
1968-09-11,1968-09-20,10,ET3,10
1968-09-21,1968-09-30,10,ET3,8
1968-09-01,1968-09-10,10,ET4,18
1968-09-11,1968-09-20,10,ET4,12
1968-09-21,1968-09-30,10,ET4,9
1968-09-01,1968-09-10,10,ET2.1,19
1968-09-11,1968-09-20,10,ET2.1,11
1968-09-21,1968-09-30,10,ET2.1,12
1968-09-01,1968-09-10,10,ET2.2,17
1968-09-11,1968-09-20,10,ET2.2,10
1968-09-21,1968-09-30,10,ET2.2,9
1968-10-01,1968-10-09,9,ET1,5
1968-10-01,1968-10-09,9,ET3,5
1968-10-01,1968-10-09,9,ET4,4
1968-10-01,1968-10-09,9,ET2.1,5
1968-10-01,1968-10-09,9,ET2.2,7
1969-05-21,1969-05-31,10,ET1,48
1969-05-21,1969-05-31,10,ET2.1,46
1969-05-21,1969-05-31,10,ET2.2,46
1969-06-01,1969-06-10,10,ET1,39
1969-06-11,1969-06-20,10,ET1,45
1969-06-21,1969-06-30,10,ET1,35
1969-06-01,1969-06-10,10,ET2.1,33
1969-06-11,1969-06-20,10,ET2.1,31
1969-06-21,1969-06-30,10,ET2.1,30
1969-06-01,1969-06-10,10,ET2.2,36
1969-06-11,1969-06-20,10,ET2.2,48
1969-06-21,1969-06-30,10,ET2.2,40
1969-07-01,1969-07-10,10,ET1,28
1969-07-11,1969-07-20,10,ET1,27
1969-07-21,1969-07-31,11,ET1,37
1969-07-01,1969-07-10,10,ET2.1,21
1969-07-11,1969-07-20,10,ET2.1,24
1969-07-21,1969-07-31,11,ET2.1,30
1969-07-01,1969-07-10,10,ET2.2,27
1969-07-11,1969-07-20,10,ET2.2,29
1969-07-21,1969-07-31,11,ET2.2,39
1969-08-01,1969-08-10,10,ET1,31
1969-08-11,1969-08-20,10,ET1,27
1969-08-21,1969-08-31,11,ET1,16
1969-08-01,1969-08-10,10,ET2.1,25
1969-08-11,1969-08-20,10,ET2.1,21
1969-08-21,1969-08-31,11,ET2.1,16
1969-08-01,1969-08-10,10,ET2.2,30
1969-08-11,1969-08-20,10,ET2.2,22
1969-08-21,1969-08-31,11,ET2.2,13
