# DATE_TIME format is %Y-%m-%d,,,,,
# DEPTH is the measurement depth under the peat surface (cm),,,,,
# PEAT_TEMP is the peat temperature (degree Celsuis),,,,,
# OBS_TYPE is the daily average,,,,,
# SITE is the observation site: valid values are 1 or 2,,,,,
# QC is the quality control: 1 - ready-to-use value; 0 - unreliable value,,,,,
DATE_TIME,DEPTH,PEAT_TEMP,OBS_TYPE,SITE,QC
1954-02-02,10,-0.9,avg,PT1,0
1954-02-02,15,-0.3,avg,PT1,0
1954-02-02,20,-0.1,avg,PT1,0
1954-02-02,40,0.8,avg,PT1,0
1954-02-02,80,1.6,avg,PT1,0
1954-02-02,160,4.9,avg,PT1,0
1954-02-02,2.5,-0.3,avg,PT1,0
1954-02-03,5,-0.5,avg,PT1,0
1954-02-03,10,-0.8,avg,PT1,0
1954-02-03,15,-0.4,avg,PT1,0
1954-02-03,20,0,avg,PT1,0
1954-02-03,40,0.9,avg,PT1,0
1954-02-03,80,1.8,avg,PT1,0
1954-02-03,160,4.8,avg,PT1,0
1954-02-03,2.5,-0.4,avg,PT1,0
1954-02-04,5,-0.3,avg,PT1,0
1954-02-04,10,-0.6,avg,PT1,0
1954-02-04,15,-0.3,avg,PT1,0
1954-02-04,20,0,avg,PT1,0
1954-02-04,40,0.9,avg,PT1,0
1954-02-04,80,1.7,avg,PT1,0
1954-02-04,160,4.8,avg,PT1,0
1954-02-04,2.5,-0.2,avg,PT1,0
1954-02-05,5,-0.3,avg,PT1,0
1954-02-05,10,-0.6,avg,PT1,0
1954-02-05,15,-0.3,avg,PT1,0
1954-02-05,20,0.1,avg,PT1,0
1954-02-05,40,0.9,avg,PT1,0
1954-02-05,80,1.8,avg,PT1,0
1954-02-05,160,4.8,avg,PT1,0
1954-02-05,2.5,-0.3,avg,PT1,0
1954-02-06,5,-0.4,avg,PT1,0
1954-02-06,10,-0.7,avg,PT1,0
1954-02-06,15,-0.3,avg,PT1,0
1954-02-06,20,0,avg,PT1,0
1954-02-06,40,0.8,avg,PT1,0
1954-02-06,80,1.6,avg,PT1,0
1954-02-06,160,4.8,avg,PT1,0
1954-02-06,2.5,-0.2,avg,PT1,0
1954-02-07,5,-0.4,avg,PT1,0
1954-02-07,10,-0.8,avg,PT1,0
1954-02-07,15,-0.4,avg,PT1,0
1954-02-07,20,-0.1,avg,PT1,0
1954-02-07,40,0.7,avg,PT1,0
1954-02-07,80,1.5,avg,PT1,0
1954-02-07,160,4.7,avg,PT1,0
1954-02-07,2.5,-0.3,avg,PT1,0
1954-02-08,5,-0.4,avg,PT1,0
1954-02-08,10,-0.8,avg,PT1,0
1954-02-08,15,-0.5,avg,PT1,0
1954-02-08,20,-0.1,avg,PT1,0
1954-02-08,40,0.9,avg,PT1,0
1954-02-08,80,1.6,avg,PT1,0
1954-02-08,160,4.8,avg,PT1,0
1954-02-08,2.5,-0.2,avg,PT1,0
1954-02-09,5,-0.6,avg,PT1,0
1954-02-09,10,-0.8,avg,PT1,0
1954-02-09,15,-0.5,avg,PT1,0
1954-02-09,20,-0.1,avg,PT1,0
1954-02-09,40,0.8,avg,PT1,0
1954-02-09,80,1.3,avg,PT1,0
1954-02-09,160,4.7,avg,PT1,0
1954-02-09,2.5,-0.5,avg,PT1,0
1954-02-10,5,-0.7,avg,PT1,0
1954-02-10,10,-1,avg,PT1,0
1954-02-10,15,-0.6,avg,PT1,0
1954-02-10,20,0,avg,PT1,0
1954-02-10,40,0.9,avg,PT1,0
1954-02-10,80,1.7,avg,PT1,0
1954-02-10,160,4.7,avg,PT1,0
1954-02-10,2.5,-0.6,avg,PT1,0
1954-02-11,5,-0.6,avg,PT1,0
1954-02-11,10,-1.1,avg,PT1,0
1954-02-11,15,-0.5,avg,PT1,0
1954-02-11,20,-0.1,avg,PT1,0
1954-02-11,40,0.8,avg,PT1,0
1954-02-11,80,1.7,avg,PT1,0
1954-02-11,160,4.7,avg,PT1,0
1954-02-11,2.5,-0.5,avg,PT1,0
1954-02-12,5,-0.8,avg,PT1,0
1954-02-12,10,-1.1,avg,PT1,0
1954-02-12,15,-0.6,avg,PT1,0
1954-02-12,20,-0.2,avg,PT1,0
1954-02-12,40,0.8,avg,PT1,0
1954-02-12,80,1.6,avg,PT1,0
1954-02-12,160,4.8,avg,PT1,0
1954-02-12,2.5,-0.6,avg,PT1,0
1954-02-13,5,-0.7,avg,PT1,0
1954-02-13,10,-1,avg,PT1,0
1954-02-13,15,-0.5,avg,PT1,0
1954-02-13,20,-0.1,avg,PT1,0
1954-02-13,40,0.8,avg,PT1,0
1954-02-13,80,1.6,avg,PT1,0
1954-02-13,160,4.7,avg,PT1,0
1954-02-13,2.5,-0.6,avg,PT1,0
1954-02-14,5,-0.6,avg,PT1,0
1954-02-14,10,-1.1,avg,PT1,0
1954-02-14,15,-0.5,avg,PT1,0
1954-02-14,20,-0.1,avg,PT1,0
1954-02-14,40,0.8,avg,PT1,0
1954-02-14,80,1.5,avg,PT1,0
1954-02-14,160,4.8,avg,PT1,0
1954-02-14,2.5,-0.6,avg,PT1,0
1954-02-15,5,-0.7,avg,PT1,0
1954-02-15,10,-1,avg,PT1,0
1954-02-15,15,-0.5,avg,PT1,0
1954-02-15,20,-0.2,avg,PT1,0
1954-02-15,40,0.7,avg,PT1,0
1954-02-15,80,1.4,avg,PT1,0
1954-02-15,160,4.6,avg,PT1,0
1954-02-15,2.5,-0.5,avg,PT1,0
1954-02-16,5,-0.9,avg,PT1,0
1954-02-16,10,-1.2,avg,PT1,0
1954-02-16,15,-0.6,avg,PT1,0
1954-02-16,20,-0.3,avg,PT1,0
1954-02-16,40,0.7,avg,PT1,0
1954-02-16,80,1.5,avg,PT1,0
1954-02-16,160,4.7,avg,PT1,0
1954-02-16,2.5,-0.8,avg,PT1,0
1954-02-17,5,-0.9,avg,PT1,0
1954-02-17,10,-1.2,avg,PT1,0
1954-02-17,15,-0.5,avg,PT1,0
1954-02-17,20,-0.1,avg,PT1,0
1954-02-17,40,0.8,avg,PT1,0
1954-02-17,80,1.4,avg,PT1,0
1954-02-17,160,4.6,avg,PT1,0
1954-02-17,2.5,-0.9,avg,PT1,0
1954-02-18,5,-0.9,avg,PT1,0
1954-02-18,10,-1.2,avg,PT1,0
1954-02-18,15,-0.5,avg,PT1,0
1954-02-18,20,-0.1,avg,PT1,0
1954-02-18,40,0.8,avg,PT1,0
1954-02-18,80,1.4,avg,PT1,0
1954-02-18,160,4.5,avg,PT1,0
1954-02-18,2.5,-0.9,avg,PT1,0
1954-02-19,5,-0.9,avg,PT1,0
1954-02-19,10,-1.2,avg,PT1,0
1954-02-19,15,-0.5,avg,PT1,0
1954-02-19,20,-0.2,avg,PT1,0
1954-02-19,40,0.9,avg,PT1,0
1954-02-19,80,1.5,avg,PT1,0
1954-02-19,160,4.4,avg,PT1,0
1954-02-19,2.5,-0.8,avg,PT1,0
1954-02-20,5,-0.9,avg,PT1,0
1954-02-20,10,-1.2,avg,PT1,0
1954-02-20,15,-0.7,avg,PT1,0
1954-02-20,20,-0.2,avg,PT1,0
1954-02-20,40,0.7,avg,PT1,0
1954-02-20,80,1.4,avg,PT1,0
1954-02-20,160,4.5,avg,PT1,0
1954-02-20,2.5,-0.8,avg,PT1,0
1954-02-21,5,-1.1,avg,PT1,0
1954-02-21,10,-1.3,avg,PT1,0
1954-02-21,15,-0.7,avg,PT1,0
1954-02-21,20,-0.2,avg,PT1,0
1954-02-21,40,0.7,avg,PT1,0
1954-02-21,80,1.3,avg,PT1,0
1954-02-21,160,4.5,avg,PT1,0
1954-02-21,2.5,-0.9,avg,PT1,0
1954-02-22,5,-0.8,avg,PT1,0
1954-02-22,10,-1.2,avg,PT1,0
1954-02-22,15,-0.6,avg,PT1,0
1954-02-22,20,-0.2,avg,PT1,0
1954-02-22,40,0.7,avg,PT1,0
1954-02-22,80,1.4,avg,PT1,0
1954-02-22,160,4.5,avg,PT1,0
1954-02-22,2.5,-0.8,avg,PT1,0
1954-02-23,5,-0.9,avg,PT1,0
1954-02-23,10,-1.3,avg,PT1,0
1954-02-23,15,-0.8,avg,PT1,0
1954-02-23,20,-0.2,avg,PT1,0
1954-02-23,40,0.7,avg,PT1,0
1954-02-23,80,1.3,avg,PT1,0
1954-02-23,160,4.5,avg,PT1,0
1954-02-23,2.5,-0.8,avg,PT1,0
1954-02-24,5,-1,avg,PT1,0
1954-02-24,10,-1.4,avg,PT1,0
1954-02-24,15,-0.7,avg,PT1,0
1954-02-24,20,-0.4,avg,PT1,0
1954-02-24,40,0.6,avg,PT1,0
1954-02-24,80,1.3,avg,PT1,0
1954-02-24,160,4.5,avg,PT1,0
1954-02-24,2.5,-0.9,avg,PT1,0
1954-02-25,5,-1.1,avg,PT1,0
1954-02-25,10,-1.3,avg,PT1,0
1954-02-25,15,-0.7,avg,PT1,0
1954-02-25,20,-0.3,avg,PT1,0
1954-02-25,40,0.7,avg,PT1,0
1954-02-25,80,1.3,avg,PT1,0
1954-02-25,160,4.5,avg,PT1,0
1954-02-25,2.5,-1,avg,PT1,0
1954-02-26,5,-1.1,avg,PT1,0
1954-02-26,10,-1.2,avg,PT1,0
1954-02-26,15,-0.6,avg,PT1,0
1954-02-26,20,-0.2,avg,PT1,0
1954-02-26,40,0.7,avg,PT1,0
1954-02-26,80,1.4,avg,PT1,0
1954-02-26,160,4.4,avg,PT1,0
1954-02-26,2.5,-0.8,avg,PT1,0
1954-02-27,5,-0.9,avg,PT1,0
1954-02-27,10,-1.2,avg,PT1,0
1954-02-27,15,-0.7,avg,PT1,0
1954-02-27,20,-0.2,avg,PT1,0
1954-02-27,40,0.7,avg,PT1,0
1954-02-27,80,1.3,avg,PT1,0
1954-02-27,160,4.3,avg,PT1,0
1954-02-27,2.5,-0.8,avg,PT1,0
1954-02-28,5,-0.8,avg,PT1,0
1954-02-28,10,-1.2,avg,PT1,0
1954-02-28,15,-0.6,avg,PT1,0
1954-02-28,20,-0.4,avg,PT1,0
1954-02-28,40,0.6,avg,PT1,0
1954-02-28,80,1.2,avg,PT1,0
1954-02-28,160,4.3,avg,PT1,0
1954-02-28,2.5,-0.7,avg,PT1,0
1954-03-01,5,-0.6,avg,PT1,0
1954-03-01,10,-1,avg,PT1,0
1954-03-01,15,-0.5,avg,PT1,0
1954-03-01,20,-0.2,avg,PT1,0
1954-03-01,40,0.6,avg,PT1,0
1954-03-01,80,1.2,avg,PT1,0
1954-03-01,160,4.3,avg,PT1,0
1954-03-01,2.5,-0.5,avg,PT1,0
1954-03-02,5,-0.3,avg,PT1,0
1954-03-02,10,-0.6,avg,PT1,0
1954-03-02,15,-0.3,avg,PT1,0
1954-03-02,20,-0.1,avg,PT1,0
1954-03-02,40,0.7,avg,PT1,0
1954-03-02,80,1.3,avg,PT1,0
1954-03-02,160,4.3,avg,PT1,0
1954-03-02,2.5,-0.1,avg,PT1,0
1954-03-03,5,-0.3,avg,PT1,0
1954-03-03,10,-0.7,avg,PT1,0
1954-03-03,15,-0.2,avg,PT1,0
1954-03-03,20,-0.1,avg,PT1,0
1954-03-03,40,0.6,avg,PT1,0
1954-03-03,80,0.8,avg,PT1,0
1954-03-03,160,4.4,avg,PT1,0
1954-03-03,2.5,-0.1,avg,PT1,0
1954-03-04,5,-0.1,avg,PT1,0
1954-03-04,10,-0.3,avg,PT1,0
1954-03-04,15,0,avg,PT1,0
1954-03-04,20,0.1,avg,PT1,0
1954-03-04,40,0.9,avg,PT1,0
1954-03-04,80,0.5,avg,PT1,0
1954-03-04,160,4.3,avg,PT1,0
1954-03-04,2.5,0.2,avg,PT1,0
1954-03-05,5,0.2,avg,PT1,0
1954-03-05,10,-0.2,avg,PT1,0
1954-03-05,15,0.1,avg,PT1,0
1954-03-05,20,0.3,avg,PT1,0
1954-03-05,40,1,avg,PT1,0
1954-03-05,80,1.6,avg,PT1,0
1954-03-05,160,4.2,avg,PT1,0
1954-03-05,2.5,0.3,avg,PT1,0
1954-03-06,5,0.1,avg,PT1,0
1954-03-06,10,-0.2,avg,PT1,0
1954-03-06,15,0,avg,PT1,0
1954-03-06,20,0.1,avg,PT1,0
1954-03-06,40,0.9,avg,PT1,0
1954-03-06,80,1.4,avg,PT1,0
1954-03-06,160,4.4,avg,PT1,0
1954-03-06,2.5,0.3,avg,PT1,0
1954-03-07,5,0.1,avg,PT1,0
1954-03-07,10,-0.2,avg,PT1,0
1954-03-07,15,0,avg,PT1,0
1954-03-07,20,0.1,avg,PT1,0
1954-03-07,40,0.8,avg,PT1,0
1954-03-07,80,1.3,avg,PT1,0
1954-03-07,160,4.4,avg,PT1,0
1954-03-07,2.5,0.2,avg,PT1,0
1954-03-08,5,-0.2,avg,PT1,0
1954-03-08,10,-0.4,avg,PT1,0
1954-03-08,15,-0.2,avg,PT1,0
1954-03-08,20,0,avg,PT1,0
1954-03-08,40,0.8,avg,PT1,0
1954-03-08,80,1.3,avg,PT1,0
1954-03-08,160,4.2,avg,PT1,0
1954-03-08,2.5,0.2,avg,PT1,0
1954-03-09,5,-0.1,avg,PT1,0
1954-03-09,10,-0.5,avg,PT1,0
1954-03-09,15,-0.2,avg,PT1,0
1954-03-09,20,0,avg,PT1,0
1954-03-09,40,0.6,avg,PT1,0
1954-03-09,80,1.2,avg,PT1,0
1954-03-09,160,4.2,avg,PT1,0
1954-03-09,2.5,0,avg,PT1,0
1954-03-10,5,-0.2,avg,PT1,0
1954-03-10,10,-0.7,avg,PT1,0
1954-03-10,15,-0.2,avg,PT1,0
1954-03-10,20,0,avg,PT1,0
1954-03-10,40,0.7,avg,PT1,0
1954-03-10,80,1.1,avg,PT1,0
1954-03-10,160,4.2,avg,PT1,0
1954-03-10,2.5,0,avg,PT1,0
1954-03-11,5,-0.1,avg,PT1,0
1954-03-11,10,-0.6,avg,PT1,0
1954-03-11,15,-0.1,avg,PT1,0
1954-03-11,20,0,avg,PT1,0
1954-03-11,40,0.6,avg,PT1,0
